关键词,用户名,用户id,内容,发博时间,转发数,评论数,点赞数,url
美国实体清单,东哥侃市,1934400970,"华为海思芯片将提速，相关公司受关注日前，华为公司创始人兼总裁任正非表示，美国禁止华为业务的影响将是有限的，即便高通和其他美国供应商不向华为出售芯片，华为也没问题，因为华为已经为此做好了准备。此前，对于华为被美国加入“实体清单”,华为海思总裁何庭波发内部信释放多个积极信号，一是，华为多年前已启动“备胎”计划，一夜之间全部转“正”；二：华为的大部分服务和承诺不会中断；三：“科技自立”将成为华为的重要战略方向。点评：今年海思Q1营收就达到了17.55亿美元，同比大涨了41%，增速远远高于其他半导体公司，排名也上升到了半导体行业第14位，较去年上升了11名。随着华为海思大规模的开启芯片自用，相关合作公司有望受益。",2019/5/20 11:11,0,0,1,https://weibo.com/1934400970/Hv2AH91cQ?refer_flag=1001030103_
美国实体清单,李昌龙,3740195897,【#华为核心供应商美国有33家：包括英特尔、高通、博通等在内#】华为公布的92家核心供应商名单，其中美国有33家，占比最高，包括耳熟能详的英特尔、高通、博通、美光、思佳讯、科尔沃、西林克斯和新飞通等公司，都是华为在美国的重要供应商。这些采购都将在禁令开始后消失。被美国列入“实体清单”当日，华为的美国供应商应声而跌，甚至有营收高度依赖华为的公司股价跌逾两成，元气大损。#华为核心供应商##华为#@社区认证助手#影响力#,2019/5/20 11:04,0,10,8,https://weibo.com/3740195897/Hv2xUk4Ev?refer_flag=1001030103_
美国实体清单,通信信息报,1899058774,【B计划登场，#华为#能撑多久？】近日，美国商务部正式将华为列入“实体清单”，禁止美企向华为出售相关技术和产品。路透社报道称，美方此举旨在切断华为供应链，令华为“无货可卖”。面对美国的打压，华为能撑下去吗？5月18日，华为发布致全球客户的一封信，保证可以确保华为的绝大部分产品在极端情况下继续服务客户，请客户放心。O网页链接,2019/5/20 11:00,0,0,0,https://weibo.com/1899058774/Hv2wymolV?refer_flag=1001030103_
美国实体清单,你家隔壁程序猿,1894059785,【#华为核心供应商美国有33家#：包括英特尔、高通、博通等在内】2018年底，华为公布的92家核心供应商名单，其中美国有33家，占比最高，包括耳熟能详的英特尔、高通、博通、美光、思佳讯、科尔沃、西林克斯和新飞通等公司。被美国列入“实体清单”当日，华为的美国供应商应声而跌，甚至有营收高度依赖华为的公司股价跌逾两成，元气大损。O网页链接,2019/5/20 12:56,0,0,4,https://weibo.com/1894059785/Hv3hhDgPe?refer_flag=1001030103_
美国实体清单,恒昌公司,3677379515,【华为核心供应商美国有33家：包括英特尔、高通、博通等在内】2018年底，华为公布的92家核心供应商名单，其中美国有33家，占比最高，包括耳熟能详的英特尔、高通、博通、美光、思佳讯、科尔沃、西林克斯和新飞通等公司。被美国列入“实体清单”当日，华为的美国供应商应声而跌，甚至有营收高度依赖华为的公司股价跌逾两成，元气大损。,2019/5/20 12:50,0,0,0,https://weibo.com/3677379515/Hv3eRfKAS?refer_flag=1001030103_
美国实体清单,新浪证券,1642585887,【华为核心供应商美国有33家：包括英特尔、高通、博通等在内】2018年底，华为公布的92家核心供应商名单，其中美国有33家，占比最高，包括耳熟能详的英特尔、高通、博通、美光、思佳讯、科尔沃、西林克斯和新飞通等公司。被美国列入“实体清单”当日，华为的美国供应商应声而跌，甚至有营收高度依赖华为的公司股价跌逾两成，元气大损。O网页链接,2019/5/20 12:22,33,18,47,https://weibo.com/1642585887/Hv33s9jPw?refer_flag=1001030103_
美国实体清单,四川政协报,5847287447,【任正非首度回应美国禁令，每一条都很给力！】5月16日，美国商务部工业与安全局（BIS）将华为列入所谓“实体清单”，外界最关注的就是华为核心供应链是否会受到冲击，因为列入清单就意味着没有美国政府的许可，华为无法向美国企业购买元器件等产品。#政协君关注##任正非美国封锁对华为影响不大#对此，任正非在采访中透露了六个要点：①即便高通和其他美国供应商不向华为出售芯片，华为也“没问题”，因为“我们已经为此做好了准备”。②“我们没有任何违法行为”。③“我们不会在美国的要求下改变我们的管理，也不会接受监管”。④美国禁止华为业务的影响将是有限的，华为对长期前景有信心。“预计华为的增长可能会放缓，但只是小幅的放缓，”任正非补充道，他表示年度收入增长可能略低于20%。⑤“接二连三的威胁贸易伙伴的政策让企业不敢再冒险，同时美国也将失去信誉”。⑥否决了在美国本土生产5G设备的可能。“即使美国请求我们在那里生产，我们也不会去”。,2019/5/20 12:13,1,0,9,https://weibo.com/5847287447/Hv307gS19?refer_flag=1001030103_
美国实体清单,平民王小石,1665808371,【任正非首度回应被美国列入“实体清单”】?,2019/5/20 13:46,29,33,139,https://weibo.com/1665808371/Hv3BOlhPs?refer_flag=1001030103_
美国实体清单,图图君512,5057323830,【美国组团封锁华为？盟友：我们不干！】当地时间16日，美国商务部正式将华为列入“实体清单”，禁止美企向华为出售相关技术和产品。为向商务部赋权绞杀华为，特朗普还签署了总统令，宣布美国进入“国家紧急状态”。不少美媒认为，美国会在封杀华为这一事件上向盟友施压，然而盟友们却纷纷表达了不同的立场。详见：O美国组团封锁华为？盟友：我们不干！Auther:杭州检察,2019/5/20 13:39,0,0,2,https://weibo.com/5057323830/Hv3yZFnF4?refer_flag=1001030103_
美国实体清单,德国中文网,6501606347,"《德媒：华为后门没找到，美国思科倒是发现不少！》当地时间5月16日，美国商务部正式将华为列入“实体清单”，禁止美企向华为出售相关技术和产品，意图切断华为供应链，令其“无货可卖”。但法国、德国、加拿大等国都表示不跟。然而，污蔑华为但拿不出证据，而曾被牵涉进“棱镜门”的美国科技巨头思科，6年来已经出了10起安全漏洞事件。见此，德媒忍不住发声，“欧洲人不应盲目跟风特朗普”。美媒则指出，特朗普针对华为的政策在外不受盟友欢迎，在内则是“不再关心他的对华政策会否伤害美国主要企业”。德国中文网了解到，文章称，美国政府一些举措将中国电信巨头华为、中兴等电信设备厂商排除在美国市场之外，文章呼吁德国和欧洲的政客们“最好不要”盲从美国。尽管英国政府，德国联邦信息技术安全部门或欧盟委员会对华为的产品进行了长达数年的缜密检查，但是在华为的产品上并没有找到明显的漏洞或是后门。尽管有迹象表明，情报部门可以利用电信设备上存在的安全漏洞搜集信息，但这些问题却经常在美国制造商思科的产品中被发现，自2013年以来已经出现了10个案例，对此美国为何没有炒作？文章还提到，德国联邦网络局局长约亨·霍曼(JochenHomann)强调说，同样的规定应该适用于所有人，“不论公司叫什么”。他还表示，在未来5G建设中，各国必须与(立场)中立的网络安全专家进行安全问题讨论，不要将其滥用为国际贸易冲突的砝码。除德媒外，美媒自己也发现了盟友们的冷淡。当地时间5月17日，美国政治新闻网站Politico在《特朗普的华为禁令吓坏盟友和行业》一文中评论道，特朗普在世界舞台上孤立华为的计划，并不受欢迎。尽管美国本周宣布的一系列措施加大了对其盟友的压力，以迫使他们避开这家中国电信巨头，但到目前为止，没有一个国家急于效仿华盛顿的做法。Politico注意到，在过去几个月里，英国、德国、比利时、荷兰、意大利和其他国家都在寻求加强保护，防止5G电信设备遭恶意使用，而非必须实施针对公司或特定国家的禁令。当地时间5月18日，《日本经济新闻》报道称，在美国因华为宣布“进入紧急状态”后，华为创始人兼首席执行官任正非首次接受媒体采访时重申，华为没有违反任何法律。“即使没有高通和美国其他芯片供应商供货，华为也没问题（wouldbe""fine""），因为我们已经为此做好了准备。”有网友认为这是典型的贼喊捉贼，窃听默克尔的可是美国人：对此，你们有什么看法呢？",2019/5/20 13:39,0,0,1,https://weibo.com/6501606347/Hv3yOdlv9?refer_flag=1001030103_
